index,voltage,value
1437,3v,3.02
1438,3v,3.02
1439,3v,3.02
1440,3v,3.02
1441,3v,3.02
1442,3v,3.02
1443,3v,3.02
1444,3v,3.02
1445,3v,3.02
1446,3v,3.02
1447,3v,3.02
1448,3v,3.02
1449,3v,3.02
1450,3v,3.02
1451,3v,3.02
1452,3v,3.02
1453,3v,3.02
1454,3v,3.02
1455,3v,3.02
1456,3v,3.02
1457,3v,3.02
1458,3v,3.02
1459,3v,3.02
1460,3v,3.02
1461,3v,3.02
1462,3v,3.02
1463,3v,3.02
1464,3v,3.02
1465,3v,3.02
1466,3v,3.02
1467,3v,3.02
1468,3v,3.02
1469,3v,3.02
1470,3v,3.02
1471,3v,3.02
1472,3v,3.02
1473,3v,3.02
1474,3v,3.02
1475,3v,3.02
1476,3v,3.02
1477,3v,3.02
1478,3v,3.02
1479,3v,3.02
1480,3v,3.02
1481,3v,3.02
1482,3v,3.02
1483,3v,3.02
1484,3v,3.02
1485,3v,3.02
1486,3v,3.02
1487,3v,3.02
1488,3v,3.02
1489,3v,3.02
1490,3v,3.02
1491,3v,3.02
1492,3v,3.02
1493,3v,3.02
1494,3v,3.02
1495,3v,3.02
1496,3v,3.02
1497,3v,3.02
1498,3v,3.02
1499,3v,3.02
1500,3v,3.02
1501,3v,3.02
1502,3v,3.02
1503,3v,3.02
1504,3v,3.02
1505,3v,3.02
1506,3v,3.02
1507,3v,3.02
1508,3v,3.02
1509,3v,3.02
1510,3v,3.02
1511,3v,3.02
1512,3v,3.02
1513,3v,3.02
1514,3v,3.02
1515,3v,3.02
1516,3v,3.02
1517,3v,3.02
1518,3v,3.02
1519,3v,3.02
1520,3v,3.02
1521,3v,3.02
1522,3v,3.02
1523,3v,3.02
1524,3v,3.02
1525,3v,3.02
1526,3v,3.02
1527,3v,3.02
1528,3v,3.02
1529,3v,3.02
1530,3v,3.02
1531,3v,3.02
1532,3v,3.02
1533,3v,3.02
1534,3v,3.02
1535,3v,3.02
1536,3v,3.02
1537,3v,3.02
1538,3v,3.02
1539,3v,3.02
1540,3v,3.02
1541,3v,3.02
1542,3v,3.02
1543,3v,3.02
1544,3v,3.02
1545,3v,3.02
1546,3v,3.02
1547,3v,3.02
1548,3v,3.02
1549,3v,3.02
1550,3v,3.02
1551,3v,3.02
1552,3v,3.02
1553,3v,3.02
1554,3v,3.02
1555,3v,3.02
1556,3v,3.02
1557,3v,3.02
1558,3v,3.02
1559,3v,3.02
1560,3v,3.02
1561,3v,3.02
1562,3v,3.02
1563,3v,3.02
1564,3v,3.02
1565,3v,3.02
1566,3v,3.02
1567,3v,3.02
1568,3v,3.02
1569,3v,3.02
1570,3v,3.02
1571,3v,3.02
1572,3v,3.02
1573,3v,3.02
1574,3v,3.02
1575,3v,3.02
1576,3v,3.02
1577,3v,3.02
1578,3v,3.02
1579,3v,3.02
1580,3v,3.02
1581,3v,3.02
1582,3v,3.02
1583,3v,3.02
1584,3v,3.02
1585,3v,3.02
1586,3v,3.02
1587,3v,3.02
1588,3v,3.02
1589,3v,3.02
1590,3v,3.02
2013,6v,5.97
2014,6v,5.97
2015,6v,5.97
2016,6v,5.97
2017,6v,5.97
2018,6v,5.97
2019,6v,5.97
2020,6v,5.97
2021,6v,5.97
2022,6v,5.97
2023,6v,5.97
2024,6v,5.97
2025,6v,5.97
2026,6v,5.97
2027,6v,5.97
2028,6v,5.97
2029,6v,5.97
2030,6v,5.97
2031,6v,5.97
2032,6v,5.97
2033,6v,5.97
2034,6v,5.97
2035,6v,5.97
2036,6v,5.97
2037,6v,5.97
2038,6v,5.97
2039,6v,5.97
2040,6v,5.97
2041,6v,5.97
2042,6v,5.97
2043,6v,5.97
2044,6v,5.97
2045,6v,5.97
2046,6v,5.97
2047,6v,5.97
2048,6v,5.97
2049,6v,5.97
2050,6v,5.97
2051,6v,5.97
2052,6v,5.97
2053,6v,5.97
2054,6v,5.97
2055,6v,5.97
2056,6v,5.97
2057,6v,5.97
2058,6v,5.97
2059,6v,5.97
2060,6v,5.97
2061,6v,5.97
2062,6v,5.97
2063,6v,5.97
2064,6v,5.99
2065,6v,5.99
2066,6v,5.99
2067,6v,5.99
2068,6v,5.99
2069,6v,5.99
2070,6v,5.99
2071,6v,5.99
2072,6v,5.99
2073,6v,5.99
2074,6v,5.99
2075,6v,5.99
2076,6v,5.99
2077,6v,5.99
2078,6v,5.99
2079,6v,5.99
2080,6v,5.99
2081,6v,5.99
2082,6v,5.99
2083,6v,5.99
2084,6v,5.99
2085,6v,5.99
2086,6v,5.99
2087,6v,5.99
2088,6v,5.99
2089,6v,5.99
2090,6v,5.99
2091,6v,5.99
2092,6v,5.99
2093,6v,5.99
2094,6v,5.99
2095,6v,5.99
2096,6v,5.99
2097,6v,5.99
2098,6v,5.99
2099,6v,5.99
2100,6v,5.99
2101,6v,5.99
2102,6v,5.99
2103,6v,5.99
2104,6v,5.99
2105,6v,5.99
2106,6v,5.99
2107,6v,5.99
2108,6v,5.99
2109,6v,5.99
2110,6v,5.99
2111,6v,5.99
2112,6v,5.99
2113,6v,5.99
2114,6v,5.99
2115,6v,5.99
2116,6v,5.99
2117,6v,5.99
2118,6v,5.99
2119,6v,5.99
2120,6v,5.99
2121,6v,5.99
2122,6v,5.99
2123,6v,5.99
2124,6v,5.99
2125,6v,5.99
2126,6v,5.99
2127,6v,5.99
2128,6v,5.99
2129,6v,5.99
2130,6v,5.99
2131,6v,5.99
2132,6v,5.99
2133,6v,5.99
2134,6v,5.99
2135,6v,5.99
2136,6v,5.99
2137,6v,5.99
2138,6v,5.99
2139,6v,5.99
2140,6v,5.99
2141,6v,5.99
2142,6v,5.99
2143,6v,5.99
2144,6v,5.99
2145,6v,5.99
2146,6v,5.99
