index,voltage,value
720,0.5v,6.000000000000005
721,0.5v,6.000000000000005
722,0.5v,6.000000000000005
723,0.5v,6.000000000000005
724,0.5v,6.000000000000005
725,0.5v,6.000000000000005
726,0.5v,6.000000000000005
727,0.5v,6.000000000000005
728,0.5v,6.000000000000005
729,0.5v,6.000000000000005
730,0.5v,6.000000000000005
731,0.5v,6.000000000000005
732,0.5v,6.000000000000005
733,0.5v,6.000000000000005
734,0.5v,6.000000000000005
735,0.5v,6.000000000000005
736,0.5v,6.000000000000005
737,0.5v,6.000000000000005
738,0.5v,6.000000000000005
739,0.5v,6.000000000000005
740,0.5v,6.000000000000005
741,0.5v,6.000000000000005
742,0.5v,6.000000000000005
743,0.5v,6.000000000000005
744,0.5v,6.000000000000005
745,0.5v,6.000000000000005
746,0.5v,6.000000000000005
747,0.5v,6.000000000000005
748,0.5v,6.000000000000005
749,0.5v,6.000000000000005
750,0.5v,6.000000000000005
751,0.5v,6.000000000000005
752,0.5v,6.000000000000005
753,0.5v,6.000000000000005
754,0.5v,6.000000000000005
755,0.5v,6.000000000000005
756,0.5v,6.000000000000005
757,0.5v,6.000000000000005
758,0.5v,6.000000000000005
759,0.5v,6.000000000000005
760,0.5v,6.000000000000005
761,0.5v,6.000000000000005
762,0.5v,6.000000000000005
763,0.5v,6.000000000000005
764,0.5v,6.000000000000005
765,0.5v,6.000000000000005
766,0.5v,6.000000000000005
767,0.5v,6.000000000000005
768,0.5v,6.000000000000005
769,0.5v,6.000000000000005
770,0.5v,6.000000000000005
771,0.5v,6.000000000000005
772,0.5v,6.000000000000005
773,0.5v,6.000000000000005
774,0.5v,6.000000000000005
775,0.5v,6.000000000000005
776,0.5v,6.000000000000005
777,0.5v,6.000000000000005
778,0.5v,6.000000000000005
779,0.5v,6.000000000000005
780,0.5v,6.000000000000005
781,0.5v,6.000000000000005
782,0.5v,6.000000000000005
783,0.5v,6.000000000000005
784,0.5v,6.000000000000005
785,0.5v,6.000000000000005
786,0.5v,6.000000000000005
787,0.5v,6.000000000000005
788,0.5v,6.000000000000005
789,0.5v,6.000000000000005
790,0.5v,6.000000000000005
791,0.5v,6.000000000000005
792,0.5v,6.000000000000005
793,0.5v,6.000000000000005
794,0.5v,6.000000000000005
795,0.5v,6.000000000000005
796,0.5v,6.000000000000005
797,0.5v,6.000000000000005
798,0.5v,6.000000000000005
799,0.5v,6.000000000000005
800,0.5v,6.000000000000005
801,0.5v,6.000000000000005
802,0.5v,6.000000000000005
803,0.5v,6.000000000000005
804,0.5v,6.000000000000005
805,0.5v,6.000000000000005
806,0.5v,6.000000000000005
807,0.5v,6.000000000000005
808,0.5v,6.000000000000005
809,0.5v,6.000000000000005
810,0.5v,6.000000000000005
811,0.5v,6.000000000000005
812,0.5v,6.000000000000005
813,0.5v,6.000000000000005
814,0.5v,6.000000000000005
815,0.5v,6.000000000000005
816,0.5v,6.000000000000005
817,0.5v,6.000000000000005
818,0.5v,6.000000000000005
819,0.5v,6.000000000000005
820,0.5v,6.000000000000005
821,0.5v,6.000000000000005
822,0.5v,6.000000000000005
823,0.5v,6.000000000000005
824,0.5v,6.000000000000005
825,0.5v,6.000000000000005
826,0.5v,6.000000000000005
827,0.5v,6.000000000000005
828,0.5v,6.000000000000005
829,0.5v,6.000000000000005
830,0.5v,6.000000000000005
831,0.5v,6.000000000000005
832,0.5v,6.000000000000005
833,0.5v,6.000000000000005
834,0.5v,6.000000000000005
835,0.5v,6.000000000000005
836,0.5v,6.000000000000005
837,0.5v,6.000000000000005
838,0.5v,6.000000000000005
839,0.5v,6.000000000000005
0,3v,-0.3333333333333262
1,3v,-0.3333333333333262
2,3v,-0.3333333333333262
3,3v,-0.3333333333333262
4,3v,-0.3333333333333262
5,3v,-0.3333333333333262
6,3v,-0.3333333333333262
7,3v,-0.3333333333333262
8,3v,-0.3333333333333262
9,3v,-0.3333333333333262
10,3v,-0.3333333333333262
11,3v,-0.3333333333333262
12,3v,-0.3333333333333262
13,3v,-0.3333333333333262
14,3v,-0.3333333333333262
15,3v,-0.3333333333333262
16,3v,-0.3333333333333262
17,3v,-0.3333333333333262
18,3v,-0.3333333333333262
19,3v,-0.3333333333333262
20,3v,-0.3333333333333262
21,3v,-0.3333333333333262
22,3v,-0.3333333333333262
23,3v,-0.3333333333333262
24,3v,-0.3333333333333262
25,3v,-0.3333333333333262
26,3v,-0.3333333333333262
27,3v,-0.3333333333333262
28,3v,-0.3333333333333262
29,3v,-0.3333333333333262
30,3v,-0.3333333333333262
31,3v,-0.3333333333333262
32,3v,-0.3333333333333262
33,3v,-0.3333333333333262
34,3v,-0.3333333333333262
35,3v,-0.3333333333333262
36,3v,-0.3333333333333262
37,3v,-0.3333333333333262
38,3v,-0.3333333333333262
39,3v,-0.3333333333333262
40,3v,-0.3333333333333262
41,3v,-0.3333333333333262
42,3v,-0.3333333333333262
43,3v,-0.3333333333333262
44,3v,-0.3333333333333262
45,3v,-0.3333333333333262
46,3v,-0.3333333333333262
47,3v,-0.3333333333333262
48,3v,-0.3333333333333262
49,3v,-0.3333333333333262
50,3v,-0.3333333333333262
51,3v,0.6666666666666672
52,3v,0.6666666666666672
53,3v,0.6666666666666672
54,3v,0.6666666666666672
55,3v,0.6666666666666672
56,3v,0.6666666666666672
57,3v,0.6666666666666672
58,3v,0.6666666666666672
59,3v,0.6666666666666672
60,3v,0.6666666666666672
61,3v,0.6666666666666672
62,3v,0.6666666666666672
63,3v,0.6666666666666672
64,3v,0.6666666666666672
65,3v,0.6666666666666672
66,3v,0.6666666666666672
67,3v,0.6666666666666672
68,3v,0.6666666666666672
69,3v,0.6666666666666672
70,3v,0.6666666666666672
71,3v,0.6666666666666672
72,3v,0.6666666666666672
73,3v,0.6666666666666672
74,3v,0.6666666666666672
75,3v,0.6666666666666672
76,3v,0.6666666666666672
77,3v,0.6666666666666672
78,3v,0.6666666666666672
79,3v,0.6666666666666672
80,3v,0.6666666666666672
81,3v,0.6666666666666672
82,3v,0.6666666666666672
83,3v,0.6666666666666672
84,3v,0.6666666666666672
85,3v,0.6666666666666672
86,3v,0.6666666666666672
87,3v,0.6666666666666672
88,3v,0.6666666666666672
89,3v,0.6666666666666672
90,3v,0.6666666666666672
91,3v,0.6666666666666672
92,3v,0.6666666666666672
93,3v,0.6666666666666672
94,3v,0.6666666666666672
95,3v,0.6666666666666672
96,3v,0.6666666666666672
97,3v,0.6666666666666672
98,3v,0.6666666666666672
99,3v,0.6666666666666672
100,3v,0.6666666666666672
101,3v,0.6666666666666672
102,3v,0.6666666666666672
103,3v,0.6666666666666672
104,3v,0.6666666666666672
105,3v,0.6666666666666672
106,3v,0.6666666666666672
107,3v,0.6666666666666672
108,3v,0.6666666666666672
109,3v,0.6666666666666672
110,3v,0.6666666666666672
111,3v,0.6666666666666672
112,3v,0.6666666666666672
113,3v,0.6666666666666672
114,3v,0.6666666666666672
115,3v,0.6666666666666672
116,3v,0.6666666666666672
